Ticker,BH,MDD,R2,Slope,AC5,Align,HitUp,HitDn,UDgap,nUp,nDn,Name,Sector,MCap,MomGap,HoldFit,TimingEdge,Type,Lean,종목구분,섹터구분,구획,추세성,방향,유형3,섹터성격,종목성격,셀4,섹터medR2,추세타이밍_정밀
240810,707.488986784141,-30.86158192090396,0.9483650003837888,0.0074795706899903,-0.0161940979366931,0.6994818652849741,0.7222222222222222,0.6153846153846154,-4.25162620949574,180,13,원익IPS,반도체장비,69208,10.68376068376068,1.2480748891709443,-0.7708776127860014,홀드형(추세추종),2.018952501956946,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
241560,32.04081632653062,-20.746268656716417,0.707489962995813,0.0011731231110206,-0.0089121642466066,0.3333333333333333,0.417391304347826,0.86,-3.390001101858509,115,50,두산밥캣,기계장비,61731,-44.2608695652174,0.3284796667794367,0.3290108375440962,혼합형,-0.0005311707646595,홀드,타이밍,타이밍-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.7075,False
247540,67.48768472906403,-35.081300813008134,0.8515463516854368,0.0034110372724503,-0.0816316869532533,0.3333333333333333,0.3709677419354839,0.78125,-12.28278087987838,124,32,에코프로비엠,에너지.보관,160735,-41.028225806451616,0.0556207762927147,0.7335399518322981,혼합형,-0.6779191755395835,타이밍,타이밍,타이밍-타이밍,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.7885,False
251270,-5.033557046979864,-41.17647058823529,0.4015974617662384,-0.0009181180418621,0.0902146118660554,0.5748792270531401,0.5445544554455446,0.3867924528301887,2.38558309687254,101,106,넷마블,엔터,35273,15.776200261535587,-0.795381784223005,-0.2553427252231359,저신호(애매),-0.5400390589998691,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.4076,False
259960,-36.20457604306864,-45.33678756476684,0.7368037575623969,-0.0018132312736062,-0.2125534856155003,0.6100917431192661,0.3898305084745763,0.3081761006289308,1.0608430462752727,59,159,크래프톤,엔터,107499,8.165440784564549,-0.5862462510252625,-0.7489830273438187,저신호(애매),0.1627367763185562,홀드,타이밍,타이밍-홀드,추세형,우하향,추세형-우하향,타이밍,,,0.4076,False
263750,16.078984485190407,-46.52777777777778,0.4135293412563776,0.0016250447392965,-0.3753415277948314,0.4564102564102564,0.5174825174825175,0.7115384615384616,-3.482062431070121,143,52,펄어비스,엔터,26374,-19.405594405594407,-0.9354986377646698,0.193252522893622,타이밍형(기술분석유효),-1.1287511606582918,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.4076,False
267250,210.0381194409149,-22.383252818035427,0.8886078867989651,0.0042902505445363,0.1507045135422674,0.515,0.5659340659340659,1.0,-14.667369723290768,182,18,HD현대,지주,193928,-43.40659340659341,0.7461836413888182,0.9080762856203148,혼합형,-0.1618926442314966,타이밍,홀드,홀드-타이밍,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8569,False
267260,267.479674796748,-37.394366197183096,0.9071732023626896,0.0045210864329381,0.1674711421472005,0.5454545454545454,0.5714285714285714,1.0,-17.46491091880581,168,8,HD현대일렉트릭,에너지.전송,372367,-42.85714285714286,0.3328313167432032,1.0763760222421428,혼합형,-0.7435447054989396,타이밍,홀드,홀드-타이밍,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8946,False
267270,110.6351550960118,-32.963149924280664,0.8720465747452036,0.0033128025816419,-0.0453874013850385,0.4451612903225806,0.5,0.9473684210526316,-4.485386805565483,136,19,HD건설기계,기계장비,68576,-44.736842105263165,0.216018612252871,0.2216657820139257,혼합형,-0.0056471697610546,타이밍,타이밍,타이밍-타이밍,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.7075,False
271560,9.983766233766245,-21.74940898345153,0.3610953320712416,0.0008256710662177,0.1298168963271671,0.4567901234567901,0.4526315789473684,0.5373134328358209,-1.4234594293149885,95,67,오리온,생활.식품,54599,-8.468185388845251,-0.1499530828170487,-0.1088913544937129,저신호(애매),-0.0410617283233357,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.3894,False
272210,146.15384615384616,-46.83466502765826,0.6730367740650641,0.0041236053374065,-0.1053406380547491,0.5084745762711864,0.5702479338842975,0.6071428571428571,-1.036162674392127,121,56,한화시스템,방산,167383,-3.689492325855959,-0.4483992326704915,-0.6019898579042692,저신호(애매),0.1535906252337777,홀드,타이밍,타이밍-홀드,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5186,False
277810,130.68391866913123,-40.79545454545455,0.8547610478988813,0.0046695472104784,-0.1433856427972665,0.5,0.5957446808510638,0.7872340425531915,-0.456647737251914,141,47,레인보우로보틱스,로봇,117369,-19.14893617021277,-0.0461497224626163,-0.5537953139763032,저신호(애매),0.5076455915136869,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8396,False
278470,423.2403718459496,-23.550724637681164,0.8819679146030605,0.0046162533945026,-0.0175514742073245,0.6359447004608295,0.6732673267326733,0.8666666666666667,-4.522307505790069,202,15,에이피알,생활.화장,153684,-19.33993399339933,1.0082347774376208,-0.2898985719718585,홀드형(추세추종),1.298133349409479,홀드,타이밍,타이밍-홀드,추세형,우상향,추세형-우상향,타이밍,추세,타이밍-추세,0.565,False
298040,589.6833503575077,-30.536839817430995,0.9317826428658408,0.0067914756425146,0.1423224436716427,0.6343612334801763,0.6697674418604651,1.0,-16.44088495760483,215,12,효성중공업,에너지.전송,302675,-33.02325581395349,1.06813532856904,0.7789259946334349,혼합형,0.2892093339356051,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8946,False
298380,39.7239263803681,-63.91038696537679,0.5254643415569339,0.0038112400409862,0.1192558348527469,0.6062176165803109,0.5448275862068965,0.2083333333333333,9.446879689659475,145,48,에이비엘바이오,바이오,52124,33.64942528735633,-1.369078846847123,0.1053889623451162,타이밍형(기술분석유효),-1.4744678091922394,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5401,False
302440,-1.0101010101010055,-37.85357737104825,0.0492135898611246,-0.0002587165445302,-0.0253981589563332,0.4528301886792453,0.4186046511627907,0.5068493150684932,-0.9602240435825248,86,73,SK바이오사이언스,바이오,30873,-8.824466390570246,-1.093397383617211,0.2354668543468509,타이밍형(기술분석유효),-1.328864237964062,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.5401,False
307950,455.1948051948052,-29.009900990099013,0.858528181380706,0.0064463357175882,-0.2286468873892661,0.4656084656084656,0.55,1.0,-11.635468034633368,160,29,현대오토에버,자동차소부장,194710,-44.99999999999999,0.8381336534625436,0.7572546526186034,혼합형,0.0808790008439402,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.7806,False
310210,102.4058577405858,-50.20632737276478,0.837221367969778,0.0045031497157772,-0.1719892961566219,0.5274725274725275,0.5950413223140496,0.6065573770491803,0.5960286908487156,121,61,보로노이,바이오,38092,-1.1516054735130732,-0.433537993022403,-0.8789689706492183,저신호(애매),0.4454309776268153,홀드,타이밍,타이밍-홀드,추세형,우상향,추세형-우상향,타이밍,추세,타이밍-추세,0.5401,False
316140,75.88932806324111,-29.289215686274503,0.7845617219904226,0.0020897967332202,0.1824368087554244,0.6424242424242425,0.6363636363636364,0.2727272727272727,5.480701613876149,154,11,우리금융지주,금융.은행,221324,36.36363636363637,0.188511522596359,-0.4878090012353182,홀드형(추세추종),0.6763205238316772,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.754,False
